"supplier_name","country","city","vat_number","registration_number","supplier_code"
"ANTEC MAGNETS S.L.U.","ES","PORTUGALETE","B95795985","466164210","ANTE01"
"FYLA LASER S.L.","ES","PATERNA","B97756563","B97756563","FYLA01"
"ANTEC MAGNETS SLU","ES","PORTUGALETE","B95795985","466164210","ANTE01"
"ROMPAL INGENIEROS","ES","HOSPITALET DE LLOBREGAT","A08934119","1528885662411","ROMP50"
"UNIVERSITAT AUTONOMA DE BARCELONA (UAB)","ES","BARCELONA",NA,NA,"UNIV50"
"CIEMAT","ES","MADRID","Q2820002J","Q2820002J","CIEM01"
"TTI (SPAIN)","ES","SANTANDER","B39385083",NA,"TTI-01"
"UNIVERSIDAD POLITECNICA MADRID (UPM)","ES","MADRID",NA,NA,"UPM-01"
"PROCON SYSTEMS","ES","BADALONA","A64864840",NA,"PROC17"
"VACUUM-PROJECTS (THE)","ES","Paterna","B97704126",NA,"TVP-02"
"PROCON SYSTEMS, S.A.","ES","BADALONA","A64864840",NA,"PROC17"
"NANOKER RESEARCH","ES","OVIEDO","B74255902",NA,"NANO11"
"ARCE CLIMA SISTEMAS Y APLICACIONES SL","ES","CULLEREDO","B15814296","ESB15814296","ACS-14"
"NORTEMECANICA","ES","CARRENO","A33771445","A33771445","NORT03"
"ECOFRED RUBI","ES","RUBI BARCELONA",NA,NA,"ECOF04"
"ARCE CLIMA SISTEMAS Y APLICACIONES S.L.","ES","CULLEREDO","B15814296","ESB15814296","ACS-14"
"SERVICIOS DE TECNOLOGIA INGENIERIA E INFORMATICA SL","ES","GETAFE","B81254880",NA,"SERT07"
"CSIC - CONSEJO SUPERIOR INVESTIGACIONES CIENTIFICAS","ES","BELLATERA",NA,NA,"CSIC01"
"ELYTT ENERGY","ES","Madrid","B95235495","512722158","ELYT01"
"PROINSENER ENERGIA, S.L.","ES","AZNALCOLLAR, SEVILLA","B90023524",NA,"PROI02"
"IK4-TEKNIKER","ES","Eibar","G20545729","F13","TEKN02"
"TELESONIC SAU","ES","GUIPUZCOA","A20095436",NA,"TEL-42"
"SADES","ES","BARCELONA","A08110330","460017551","SADE04"
"CADIELSA VALLADOLID, S.L.","ES","VALLADOLID","B47092283","B47092283","CADI07"
"Seven Solutions","ES","GRANADA","B18763979","ESB18763979","SEVE04"
"UNIVERSIDAD DE SEVILLA","ES","SEVILLA","Q4118001I",NA,"UNI170"
"ORMAZABAL INTERNATIONAL BUSINESS","ES","ZAMUDIO","B95288338",NA,"INT315"
